Country,Type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Panama,(A),12899.22,11551.92,11818.68,8523.96,14898.78,12566.88,12644.52,13048.14,11519.76,9982.86,10213.56,9596.34,8397.72,10323.72,5423.352,10579.842,10386.09,10563.318,8949.654,8264.358,6830.994,6337.884,6931.188,6808.11,6373.014,7624.704,7211.412,6273.726,7664.658,6864.318
Timor-Leste,(A),0,0,0,0,0,0,0,0,0,0,427.674,1971.234,2208.558,2509.398,995.592,1411.368,2772.462,2178.192,2861.508,2814.756,3606.102,2841.186,3644.898,4813.092,6655.452,3549.528,4921.236,3893.538,8345.796,6183.162
Yemen,(A),0,0,0,0,0,0,0,0,4122.042,3634.74,3836.16,3733.11,3404.676,11598.162,12333.534,12190.848,12434.04,11877.222,13187.808,8110.896,9670.05,11104.062,11251.506,11237.886,10702.884,9374.76,8607.198,7927.686,5134.572,5485.668
Bolivia (Plurinational State of),(A),7366.62,6212.16,7214.1,3049.38,7016.64,8549.1,7474.74,8443.14,8279.1,9462.12,8856.24,5640.96,7600.08,6199.38,9288.426,6598.152,8785.782,6961.752,7225.116,7708.506,7033.494,7910.124,6316.872,7194.732,5992.596,5053.146,4679.01,5028.672,4954.122,4875.924
Central African Republic,(R),10516.44,7486.86,8030.7,9934.44,14970.72,6483.9,12469.86,6861.24,12874.92,14440.92,6798.78,4090.32,5525.64,2563.8,1722.9,1389.834,6810.222,2608.02,3576.96,6726.54,4707.72,5479.5,1373.4,5406.24,3756.84,6001.08,2203.602,3594.84,2228.1,3308.298
Angola,(R/A),3020.7,4759.86,4651.2,1956.48,4608.12,3726.54,4255.5,3859.8,5120.64,3296.34,2987.1,1241.4,3398.4,2280.78,886.2,1497.9,2105.7,2137.86,2256.6,805.2,2098.2,1722.9,1967.4,2096.1,2364.3,2430.9,2689.8,2100.36,2514.162,3110.514
Nigeria,(R),1751.4,2658.78,2932.92,2719.14,3097.86,3182.28,2758.5,2680.02,3204.3,2704.02,2965.86,2640.18,2988.9,2769.024,2708.274,4114.308,3044.106,2529.948,3000.288,2056.122,2523.318,2812.776,2445.822,2451.492,2567.892,2476.692,2599.092,2537.286,2491.488,2548.17
Togo,(R),9678.48,25959.12,5138.88,11696.34,10577.76,5064.06,17435.16,13264.68,19289.16,15768.48,11844.06,6721.08,4092.3,8627.52,9931.32,8404.554,8037,7507.86,8265.186,12112.986,9617.472,9602.82,5043.534,10290.354,8594.502,4855.392,1396.632,6882.948,3255.786,2437.02
Sierra Leone,(R),2566.98,3262.74,2345.04,2247.06,4364.28,2626.08,2454.6,2980.74,1612.92,3541.2,2949.3,4752,2503.734,2130.978,871.53,3597.972,1888.32,2400.066,5177.136,5442.102,1974.876,4697.874,3670.998,1904.076,2786.868,2755.656,2275.302,2276.784,2684.586,2399.226
Sri Lanka,(R/A),5752.2,4892.94,3190.86,3227.4,2546.88,2135.7,2219.94,3455.04,2744.28,1902.96,1996.8,1891.86,2062.842,2213.652,1898.622,2096.592,1972.5,2009.436,1851.864,1890.192,2225.262,2141.958,2114.904,2224.95,2142.108,2171.598,2202.966,2206.974,2152.656,2173.122
Jamaica,(A),1354.44,2339.22,1534.98,2057.22,2675.88,2585.04,3231.84,2821.5,1744.98,2278.23,2212.644,1846.5,2227.38,2246.826,1278.396,2056.662,2407.176,1210.596,1913.49,1505.052,1233.288,1440.438,1422.954,1189.752,1263.072,1200.726,1082.682,1143.288,1071.258,1372.758
Paraguay,0,7837.62,4779.18,3257.46,3991.65,1515.858,1575.234,1850.586,2960.466,1904.406,1138.362,1296.462,1329.81,2134.836,2849.706,2283.114,2624.022,2085.222,2317.812,1200.894,1200.996,1211.802,1201.17,1200.39,1201.914,1201.17,1200,1200.624,1200.078,1200.81,1200.228
Malawi,(A),6277.68,7457.16,8229.66,3726.66,5046.72,5474.1,2919,3649.2,3859.26,3540,3788.28,3623.4,2547.84,2889.3,1236.9,1464.96,999.78,1128.72,1245.18,1015.32,1015.71,1549.584,1369.572,1667.664,1482.588,1272.09,1170.96,868.218,771.936,962.586
