Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2006","2006","tonnes","2573368","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2007","2007","tonnes","2249011","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2008","2008","tonnes","2796927","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2009","2009","tonnes","2440056","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2010","2010","tonnes","2907265","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2011","2011","tonnes","2700540","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2012","2012","tonnes","3037534","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2013","2013","tonnes","2964538","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2014","2014","tonnes","2804070","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2015","2015","tonnes","2647504","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2016","2016","tonnes","3024466","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2017","2017","tonnes","2684508","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2018","2018","tonnes","3552729","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2019","2019","tonnes","3011745","","Official data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","656","Coffee, green","2020","2020","tonnes","3700231","","Official data"
